name;open;high;low;close;volume;marketCap;timestamp
"2781";34.7994590984;36.4657849273;34.4142071059;36.0737676299;693709648.65;13241325661.25;"2024-01-29T00:00:00.000Z"
"2781";36.0737676299;37.0996438527;35.0868194449;35.1447799068;681955940.48;12900465472.54;"2024-01-30T00:00:00.000Z"
"2781";35.1554209322;35.467706488;33.1399026688;33.1619007969;581078929.22;12173225139.45;"2024-01-31T00:00:00.000Z"
"2781";33.1628782331;33.9034347563;32.3407278715;33.8285414711;476844021.68;12418528238.98;"2024-02-01T00:00:00.000Z"
"2781";33.8297824019;36.8472123362;33.8226207305;36.7079154301;721421678.19;13477098503.06;"2024-02-02T00:00:00.000Z"
"2781";36.712059789;37.5281607216;35.445925657;35.9164016307;463062302.63;13186767048.38;"2024-02-03T00:00:00.000Z"
"2781";35.9222170621;36.4941032381;34.8382286708;34.8449942503;374440908.62;12793696501.35;"2024-02-04T00:00:00.000Z"
"2781";34.8446666967;35.8490829386;34.1576291837;34.5007738188;430466400.23;12670297054.54;"2024-02-05T00:00:00.000Z"
"2781";34.4997713194;34.6827347983;33.8053328312;34.1414692751;371504176.12;12544909224.13;"2024-02-06T00:00:00.000Z"
"2781";34.1408717069;35.4736683333;33.7429489523;35.2792478523;434703122.17;12963491846.71;"2024-02-07T00:00:00.000Z"
"2781";35.2792128326;36.101425143;35.1244123131;35.4277646009;465036664.8;13018237950.74;"2024-02-08T00:00:00.000Z"
"2781";35.4278264224;38.5532989035;35.4219386947;38.0109586061;734324525.72;13967769490.04;"2024-02-09T00:00:00.000Z"
"2781";38.0090796648;41.0995176248;38.0090796648;40.2883173089;716869744.84;14804834774.61;"2024-02-10T00:00:00.000Z"
"2781";40.2734050422;41.1526002779;39.4408728729;39.7322684005;506846338.7;14600531596.41;"2024-02-11T00:00:00.000Z"
"2781";39.7316357791;41.0881874329;38.4500097754;41.0881874329;790355102.74;15099148633.9;"2024-02-12T00:00:00.000Z"
"2781";41.0809692291;41.6374430175;38.9207546324;39.7653510656;707780904.8;14613129773.53;"2024-02-13T00:00:00.000Z"
"2781";39.764517421;42.4125783988;39.1946090227;42.2683905638;792191830.85;15533312280.26;"2024-02-14T00:00:00.000Z"
"2781";42.2670579509;43.4917306718;41.0542293075;41.5960034065;822570663.09;15286493654.59;"2024-02-15T00:00:00.000Z"
"2781";41.5940964203;41.7958666712;39.7116788468;40.3121308566;569724887.65;14815057117.63;"2024-02-16T00:00:00.000Z"
"2781";40.3100447991;40.430751648;38.5097182974;39.7624889336;449295833.23;14613339261.03;"2024-02-17T00:00:00.000Z"
"2781";39.7635938973;40.7241648883;39.0658987652;40.2546631485;426847219.03;14794499445.78;"2024-02-18T00:00:00.000Z"
"2781";40.2553047764;40.5948064289;39.2391461828;39.4822341496;583708515.99;14510892589.11;"2024-02-19T00:00:00.000Z"
"2781";39.4837079238;39.6644508148;37.0642236956;38.5274037063;665731630.93;14160216609.28;"2024-02-20T00:00:00.000Z"
"2781";38.5256516434;38.5339508804;36.0155655906;37.6354379769;522409643.36;13842518281.9;"2024-02-21T00:00:00.000Z"
"2781";37.6334661145;38.1651045034;36.5813631403;36.7507263868;457923442.08;13860799187.08;"2024-02-22T00:00:00.000Z"
"2781";36.7461840045;36.9066355069;35.2615324901;35.9263180342;474695415.56;13550928644.63;"2024-02-23T00:00:00.000Z"
"2781";35.9259334452;36.9268494235;35.2357295154;36.7380453104;348541912.14;13856656312.78;"2024-02-24T00:00:00.000Z"
"2781";36.7390484477;37.4647538142;36.5170290018;37.4499699105;348630080.78;14125113515.94;"2024-02-25T00:00:00.000Z"
"2781";37.4534695526;39.3466026405;36.3484804769;39.3361906094;556405127.42;14836816562.59;"2024-02-26T00:00:00.000Z"
"2781";39.3358833495;39.9353205257;38.5391341232;39.268646036;507254828.56;14811557014.9;"2024-02-27T00:00:00.000Z"
