name;open;high;low;close;volume;marketCap;timestamp
"2781";102.5942751932;104.2247042131;101.3329769454;101.7027617912;2455496099.28;44834624606.01;"2024-02-21T12:00:00.000Z"
"2781";101.7414307899;104.4263312743;101.5909277193;102.2043858868;2094978623.85;45055742305.31;"2024-02-21T15:00:00.000Z"
"2781";102.2038309651;102.2038309651;100.4120195429;101.5397043972;2082134919.09;44762641498.51;"2024-02-21T18:00:00.000Z"
"2781";101.5585569351;105.6095373008;101.5585569351;105.1252222633;2246861646.82;46343257302.27;"2024-02-21T21:00:00.000Z"
"2781";105.1203064697;105.1203064697;102.2224089648;102.6409842649;2095060949.87;45248249919.66;"2024-02-22T00:00:00.000Z"
"2781";102.655842393;104.0881166671;102.655842393;103.7026846625;2245515290.98;45716274274.78;"2024-02-22T03:00:00.000Z"
"2781";103.7142315331;105.9854968733;103.7142315331;105.7616104831;2339858908.4;46637007847.31;"2024-02-22T06:00:00.000Z"
"2781";105.7387742757;106.9954071814;105.5179901581;105.7869136903;2261068898.67;46648110945.23;"2024-02-22T09:00:00.000Z"
"2781";105.7838496132;106.0610174907;103.3084641455;104.6654909512;2094060290.79;46153582059.38;"2024-02-22T12:00:00.000Z"
"2781";104.6642993116;105.7112621541;103.791767483;104.1615208968;2005581271.98;45931332614.56;"2024-02-22T15:00:00.000Z"
"2781";104.1615208968;105.0958003708;103.3920430574;104.9674045595;1952579331.49;46286661178.65;"2024-02-22T18:00:00.000Z"
"2781";104.9983427411;105.0698075468;101.6424012828;101.6697900488;1830636003.79;44832523183.21;"2024-02-22T21:00:00.000Z"
"2781";101.674623541;102.7269188513;101.3594565354;101.3594565354;1798745366.99;44695649999.57;"2024-02-23T00:00:00.000Z"
"2781";101.3501646398;102.5729246248;101.1180376878;102.3804940189;1818746841.17;45145874308.44;"2024-02-23T03:00:00.000Z"
"2781";102.3835115116;103.02283463;101.4011084608;101.5891706091;1648587121.95;44796908515.59;"2024-02-23T06:00:00.000Z"
"2781";101.5901229967;102.9392538705;101.4889942003;102.594054114;1413121726.12;45240011382.26;"2024-02-23T09:00:00.000Z"
